unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
-73.644264,338.791381,227.563617,-3.105377,-3.106911,0.000055,0.000012,0.008913,3.904200,-73.545172,336.056409,-73.743668,341.534953,0.000000
-73.743843,338.787774,227.562747,-3.105377,-3.106886,-0.000101,-0.000022,0.008906,3.899584,-73.644756,336.052935,-73.843299,341.532792,0.099644
-73.843421,338.784166,227.561875,-3.105382,-3.106863,-0.000346,-0.000075,0.008900,3.893942,-73.744352,336.049461,-73.942917,341.530672,0.199288
-73.943000,338.780559,227.561001,-3.105393,-3.106840,-0.000672,-0.000146,0.008893,3.887149,-73.843966,336.045985,-74.042522,341.528597,0.298931
-74.042578,338.776953,227.560126,-3.105411,-3.106817,-0.001071,-0.000233,0.008885,3.879144,-73.943598,336.042510,-74.142107,341.526565,0.398575
-74.142157,338.773350,227.559248,-3.105439,-3.106797,-0.001535,-0.000334,0.008878,3.869946,-74.043258,336.039033,-74.241667,341.524577,0.498219
-74.241736,338.769750,227.558369,-3.105478,-3.106779,-0.002057,-0.000447,0.008870,3.859658,-74.142949,336.035555,-74.341198,341.522628,0.597863
-74.341315,338.766155,227.557489,-3.105529,-3.106763,-0.002630,-0.000572,0.008862,3.848452,-74.242671,336.032076,-74.440698,341.520726,0.697507
-74.440894,338.762565,227.556606,-3.105592,-3.106748,-0.003246,-0.000706,0.008854,3.836537,-74.342427,336.028596,-74.540165,341.518857,0.797150
-74.540473,338.758983,227.555721,-3.105670,-3.106737,-0.003899,-0.000848,0.008845,3.824137,-74.442223,336.025115,-74.639592,341.517027,0.896794
-74.640053,338.755408,227.554834,-3.105762,-3.106728,-0.004583,-0.000996,0.008836,3.811466,-74.542058,336.021632,-74.738982,341.515233,0.996438
-74.739633,338.751844,227.553946,-3.105868,-3.106721,-0.005291,-0.001150,0.008827,3.798595,-74.641931,336.018148,-74.838333,341.513475,1.096082
