unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
10.046678,360.510113,228.093063,0.542271,0.552309,-0.024192,-0.005260,0.015805,3.525670,8.637657,362.848657,11.520800,358.063523,0.000000
10.131985,360.561481,228.092059,0.541741,0.552099,-0.024851,-0.005404,0.015841,3.524802,8.723670,362.901658,11.607425,358.109764,0.099579
10.217319,360.612803,228.091039,0.541190,0.551883,-0.026181,-0.005693,0.015877,3.523912,8.809732,362.954689,11.694101,358.155793,0.199157
10.302683,360.664077,228.090004,0.540603,0.551659,-0.028124,-0.006116,0.015913,3.522999,8.895880,363.007773,11.780780,358.201606,0.298736
10.388077,360.715299,228.088953,0.539968,0.551424,-0.030622,-0.006659,0.015949,3.522062,8.982140,363.060927,11.867440,358.247169,0.398315
10.473506,360.766464,228.087887,0.539273,0.551177,-0.033620,-0.007311,0.015986,3.521099,9.068542,363.114167,11.954047,358.292471,0.497894
10.558972,360.817567,228.086804,0.538508,0.550916,-0.037066,-0.008062,0.016022,3.520110,9.155109,363.167509,12.040574,358.337498,0.597472
10.644479,360.868601,228.085705,0.537665,0.550642,-0.040910,-0.008899,0.016058,3.519093,9.241859,363.220964,12.126995,358.382243,0.697051
10.730031,360.919559,228.084589,0.536734,0.550350,-0.045104,-0.009812,0.016095,3.518046,9.328816,363.274547,12.213288,358.426686,0.796630
10.815633,360.970434,228.083457,0.535708,0.550038,-0.049602,-0.010792,0.016131,3.516967,9.415998,363.328269,12.299427,358.470824,0.896208
10.901290,361.021216,228.082308,0.534582,0.549707,-0.054360,-0.011829,0.016167,3.515854,9.503416,363.382136,12.385399,358.514650,0.995787
10.987006,361.071898,228.081142,0.533351,0.549354,-0.059337,-0.012914,0.016204,3.514703,9.591084,363.436156,12.471191,358.558152,1.095366
11.072788,361.122469,228.079959,0.532009,0.548976,-0.064492,-0.014039,0.016240,3.513511,9.679015,363.490339,12.556780,358.601327,1.194945
11.158640,361.172920,228.078758,0.530554,0.548573,-0.069788,-0.015196,0.016277,3.512272,9.767215,363.544688,12.642160,358.644170,1.294523
11.244568,361.223241,228.077540,0.528982,0.548142,-0.075189,-0.016376,0.016313,3.510979,9.856349,363.598091,12.727311,358.686689,1.394102
11.330578,361.273422,228.076305,0.527292,0.547683,-0.080662,-0.017573,0.016349,3.509622,9.945940,363.651361,12.812234,358.728868,1.493681
11.416676,361.323453,228.075052,0.525482,0.547193,-0.086174,-0.018780,0.016386,3.508188,10.035818,363.704801,12.896917,358.770715,1.593259
11.502868,361.373322,228.073781,0.523551,0.546670,-0.091695,-0.019990,0.016422,3.506658,10.125987,363.758414,12.981353,358.812229,1.692838
11.589158,361.423020,228.072492,0.521501,0.546115,-0.097196,-0.021196,0.016458,3.505005,10.216653,363.811828,13.065546,358.853408,1.792417
11.675554,361.472535,228.071185,0.519330,0.545524,-0.102652,-0.022394,0.016495,3.503192,10.307621,363.865395,13.149483,358.894260,1.891995
11.762059,361.521858,228.069861,0.517041,0.544898,-0.108036,-0.023578,0.016531,3.501169,10.398875,363.919130,13.233168,358.934789,1.991574
11.848680,361.570977,228.068518,0.514635,0.544234,-0.113326,-0.024742,0.016567,3.498869,10.490466,363.972941,13.316607,358.974988,2.091153
11.935422,361.619883,228.067157,0.512115,0.543533,-0.118499,-0.025882,0.016603,3.496206,10.582617,364.026415,13.399796,359.014878,2.190732
12.022289,361.668565,228.065778,0.509482,0.542792,-0.123536,-0.026993,0.016639,3.493072,10.675044,364.080049,13.482735,359.054458,2.290310
12.109287,361.717014,228.064381,0.506740,0.542011,-0.128418,-0.028071,0.016675,3.489339,10.767740,364.133839,13.565437,359.093730,2.389889
12.196420,361.765219,228.062966,0.503892,0.541188,-0.133127,-0.029113,0.016710,3.484868,10.860876,364.187462,13.647904,359.132700,2.489468
12.283693,361.813172,228.061532,0.500943,0.540324,-0.137648,-0.030114,0.016746,3.479517,10.954534,364.240738,13.730147,359.171379,2.589046
12.371109,361.860862,228.060081,0.497896,0.539417,-0.141967,-0.031071,0.016781,3.473165,11.048436,364.294153,13.812171,359.209774,2.688625
12.458672,361.908282,228.058611,0.494756,0.538468,-0.146071,-0.031982,0.016816,3.465731,11.142573,364.347702,13.893982,359.247900,2.788204
12.546385,361.955423,228.057123,0.491528,0.537476,-0.149947,-0.032844,0.016851,3.457195,11.237202,364.400883,13.975601,359.285751,2.887783
12.634252,362.002277,228.055617,0.488217,0.536440,-0.153586,-0.033653,0.016886,3.447607,11.332179,364.453930,14.057036,359.323340,2.987361
12.722276,362.048836,228.054094,0.484828,0.535361,-0.156979,-0.034409,0.016921,3.437085,11.427598,364.506635,14.138298,359.360678,3.086940
12.810459,362.095093,228.052552,0.481366,0.534238,-0.160118,-0.035109,0.016955,3.425801,11.523267,364.559334,14.219398,359.397776,3.186519
12.898802,362.141041,228.050993,0.477838,0.533072,-0.162996,-0.035751,0.016989,3.413957,11.619412,364.611545,14.300350,359.434649,3.286097
12.987309,362.186675,228.049416,0.474248,0.531862,-0.165608,-0.036335,0.017023,3.401764,11.715772,364.663753,14.381172,359.471296,3.385676
13.075981,362.231989,228.047822,0.470603,0.530608,-0.167949,-0.036858,0.017057,3.389349,11.812585,364.715446,14.461878,359.507731,3.485255
13.164818,362.276976,228.046210,0.466909,0.529312,-0.170017,-0.037320,0.017090,3.376741,11.909617,364.767042,14.542481,359.543969,3.584834
