unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
120.429858,260.523461,232.109732,2.083610,2.050128,0.018456,0.004013,0.075730,4.000000,117.959464,259.132485,122.841803,261.881527,0.000000
120.380947,260.610288,232.102199,2.084008,2.050703,0.018317,0.003982,0.075728,4.000000,117.911627,259.218621,122.792212,261.969236,0.099655
120.332002,260.697094,232.094665,2.084404,2.051277,0.018176,0.003952,0.075727,4.000000,117.863754,259.304743,122.742544,262.056892,0.199310
120.283022,260.783882,232.087128,2.084796,2.051846,0.018033,0.003921,0.075725,4.000000,117.815842,259.390859,122.692881,262.144541,0.298965
120.234008,260.870651,232.079590,2.085185,2.052413,0.017889,0.003889,0.075723,4.000000,117.767889,259.476961,122.643223,262.232182,0.398620
120.184961,260.957400,232.072050,2.085571,2.052976,0.017744,0.003858,0.075721,4.000000,117.719896,259.563051,122.593518,262.319786,0.498275
120.135881,261.044131,232.064508,2.085954,2.053537,0.017597,0.003826,0.075719,4.000000,117.671867,259.649130,122.543737,262.407338,0.597929
120.086767,261.130842,232.056964,2.086334,2.054094,0.017450,0.003794,0.075717,4.000000,117.623803,259.735199,122.493961,262.494883,0.697584
120.037620,261.217536,232.049419,2.086710,2.054648,0.017302,0.003762,0.075715,4.000000,117.575696,259.821260,122.444190,262.582419,0.797239
119.988442,261.304211,232.041871,2.087083,2.055198,0.017153,0.003729,0.075713,4.000000,117.527557,259.907310,122.394377,262.669920,0.896894
119.939230,261.390867,232.034322,2.087453,2.055746,0.017003,0.003697,0.075711,4.000000,117.479381,259.993351,122.344487,262.757368,0.996549
119.889987,261.477506,232.026771,2.087820,2.056291,0.016853,0.003664,0.075708,4.000000,117.431166,260.079380,122.294600,262.844809,1.096204
119.840713,261.564126,232.019219,2.088184,2.056833,0.016703,0.003631,0.075706,4.000000,117.382918,260.165399,122.244719,262.932242,1.195859
119.791407,261.650729,232.011664,2.088544,2.057371,0.016552,0.003599,0.075703,4.000000,117.334628,260.251409,122.194797,263.019640,1.295514
119.742070,261.737314,232.004108,2.088901,2.057906,0.016401,0.003566,0.075700,4.000000,117.286307,260.337411,122.144794,263.106982,1.395169
119.692702,261.823881,231.996550,2.089255,2.058438,0.016250,0.003533,0.075698,4.000000,117.237948,260.423402,122.094796,263.194316,1.494824
119.643303,261.910431,231.988991,2.089605,2.058966,0.016099,0.003500,0.075695,4.000000,117.189554,260.509387,122.044803,263.281642,1.594478
119.593875,261.996964,231.981430,2.089952,2.059492,0.015947,0.003467,0.075692,4.000000,117.141127,260.595363,121.994775,263.368937,1.694133
119.544416,262.083479,231.973867,2.090296,2.060014,0.015797,0.003434,0.075689,4.000000,117.092661,260.681326,121.944668,263.456177,1.793788
119.494928,262.169978,231.966303,2.090637,2.060534,0.015646,0.003402,0.075685,4.000000,117.044161,260.767281,121.894564,263.543411,1.893443
119.445411,262.256460,231.958737,2.090974,2.061049,0.015495,0.003369,0.075682,4.000000,116.995628,260.853230,121.844467,263.630634,1.993098
119.395865,262.342926,231.951170,2.091308,2.061562,0.015345,0.003336,0.075679,4.000000,116.947061,260.939170,121.794338,263.717830,2.092753
119.346290,262.429374,231.943602,2.091639,2.062072,0.015196,0.003304,0.075675,4.000000,116.898460,261.025100,121.744132,263.804971,2.192408
119.296686,262.515807,231.936032,2.091967,2.062579,0.015047,0.003271,0.075671,4.000000,116.849825,261.111022,121.693928,263.892105,2.292063
119.247054,262.602223,231.928460,2.092291,2.063082,0.014898,0.003239,0.075667,4.000000,116.801152,261.196934,121.643731,263.979229,2.391718
119.197395,262.688624,231.920887,2.092612,2.063582,0.014751,0.003207,0.075663,4.000000,116.752450,261.282841,121.593507,264.066329,2.491373
119.147707,262.775008,231.913313,2.092930,2.064079,0.014604,0.003175,0.075659,4.000000,116.703715,261.368739,121.543206,264.153374,2.591027
119.097993,262.861377,231.905738,2.093245,2.064573,0.014457,0.003143,0.075655,4.000000,116.654947,261.454628,121.492909,264.240412,2.690682
119.048251,262.947730,231.898162,2.093557,2.065064,0.014312,0.003111,0.075651,4.000000,116.606146,261.540508,121.442616,264.327443,2.790337
118.998483,263.034068,231.890584,2.093865,2.065551,0.014167,0.003080,0.075646,4.000000,116.557312,261.626382,121.392289,264.414441,2.889992
118.948688,263.120390,231.883005,2.094170,2.066035,0.014023,0.003049,0.075642,4.000000,116.508448,261.712249,121.341844,264.501361,2.989647
118.898867,263.206698,231.875425,2.094473,2.066517,0.013881,0.003018,0.075637,4.000000,116.459549,261.798104,121.291402,264.588278,3.089302
118.849020,263.292990,231.867844,2.094772,2.066994,0.013739,0.002987,0.075632,4.000000,116.410620,261.883954,121.240967,264.675183,3.188957
118.799147,263.379267,231.860263,2.095068,2.067469,0.013598,0.002956,0.075627,4.000000,116.361657,261.969793,121.190535,264.762082,3.288612
118.749249,263.465530,231.852680,2.095361,2.067941,0.013458,0.002926,0.075622,4.000000,116.312665,262.055628,121.140107,264.848974,3.388267
118.699325,263.551778,231.845096,2.095651,2.068409,0.013320,0.002896,0.075617,4.000000,116.263642,262.141454,121.089684,264.935858,3.487922
118.649377,263.638012,231.837512,2.095938,2.068874,0.013183,0.002866,0.075611,4.000000,116.214589,262.227273,121.039265,265.022735,3.587576
118.599404,263.724232,231.829927,2.096222,2.069337,0.013046,0.002836,0.075605,4.000000,116.165507,262.313086,120.988810,265.109583,3.687231
118.549407,263.810437,231.822341,2.096504,2.069796,0.012911,0.002807,0.075600,4.000000,116.116396,262.398888,120.938201,265.196333,3.786886
118.499386,263.896629,231.814754,2.096782,2.070252,0.012778,0.002778,0.075594,4.000000,116.067250,262.484684,120.887597,265.283074,3.886541
118.449341,263.982806,231.807167,2.097057,2.070705,0.012645,0.002749,0.075588,4.000000,116.018074,262.570471,120.836997,265.369807,3.986196
118.399272,264.068970,231.799579,2.097330,2.071155,0.012514,0.002721,0.075581,4.000000,115.968873,262.656251,120.786400,265.456536,4.085851
118.349180,264.155121,231.791991,2.097599,2.071601,0.012384,0.002692,0.075575,4.000000,115.919640,262.742028,120.735809,265.543256,4.185506
118.299064,264.241257,231.784403,2.097866,2.072044,0.012255,0.002664,0.075569,4.000000,115.870381,262.827794,120.685221,265.629970,4.285161
118.248926,264.327381,231.776814,2.098131,2.072486,0.012128,0.002637,0.075562,4.000000,115.821093,262.913551,120.634635,265.716680,4.384816
118.198766,264.413491,231.769225,2.098392,2.072923,0.012002,0.002609,0.075555,4.000000,115.771772,262.999302,120.584028,265.803363,4.484471
118.148582,264.499589,231.761636,2.098651,2.073357,0.011877,0.002582,0.075548,4.000000,115.722425,263.085045,120.533268,265.889953,4.584125
118.098377,264.585673,231.754046,2.098907,2.073788,0.011754,0.002555,0.075541,4.000000,115.673052,263.170782,120.482513,265.976535,4.683780
118.048150,264.671745,231.746457,2.099160,2.074216,0.011632,0.002529,0.075533,4.000000,115.623650,263.256513,120.431762,266.063110,4.783435
117.997901,264.757804,231.738868,2.099411,2.074641,0.011512,0.002503,0.075526,4.000000,115.574221,263.342235,120.381015,266.149680,4.883090
117.947631,264.843850,231.731278,2.099659,2.075063,0.011392,0.002477,0.075518,4.000000,115.524765,263.427951,120.330271,266.236242,4.982745
117.897339,264.929884,231.723689,2.099904,2.075482,0.011275,0.002451,0.075510,4.000000,115.475279,263.513660,120.279532,266.322797,5.082400
117.847026,265.015906,231.716100,2.100147,2.075898,0.011158,0.002426,0.075502,4.000000,115.425769,263.599362,120.228795,266.409348,5.182055
117.796693,265.101915,231.708511,2.100388,2.076311,0.011043,0.002401,0.075494,4.000000,115.376235,263.685055,120.178044,266.495883,5.281710
117.746339,265.187913,231.700923,2.100626,2.076721,0.010930,0.002376,0.075486,4.000000,115.326667,263.770740,120.127151,266.582326,5.381365
117.695965,265.273899,231.693335,2.100861,2.077127,0.010818,0.002352,0.075477,4.000000,115.277077,263.856421,120.076261,266.668762,5.481020
117.645570,265.359872,231.685748,2.101094,2.077531,0.010707,0.002328,0.075468,4.000000,115.227461,263.942094,120.025375,266.755192,5.580674
117.595156,265.445835,231.678161,2.101325,2.077932,0.010598,0.002304,0.075459,4.000000,115.177818,264.027758,119.974491,266.841618,5.680329
117.544721,265.531785,231.670575,2.101554,2.078331,0.010490,0.002280,0.075450,4.000000,115.128153,264.113416,119.923610,266.928039,5.779984
117.494268,265.617724,231.662989,2.101780,2.078726,0.010383,0.002257,0.075441,4.000000,115.078463,264.199069,119.872733,267.014452,5.879639
117.443795,265.703652,231.655405,2.102004,2.079118,0.010278,0.002234,0.075432,4.000000,115.028747,264.284713,119.821860,267.100861,5.979294
