unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
45.185562,384.630892,227.886167,2.024500,2.054025,-0.014039,-0.003052,-0.017246,3.984499,42.700722,383.419206,47.731098,385.872175,0.000000
45.141687,384.720903,227.887823,2.024199,2.053519,-0.013619,-0.002961,-0.017263,3.984384,42.656609,383.510027,47.686631,385.960949,0.100134
45.097839,384.810926,227.889477,2.023908,2.053018,-0.013101,-0.002848,-0.017280,3.984267,42.612611,383.600872,47.642150,386.049748,0.200269
45.054016,384.900962,227.891129,2.023629,2.052521,-0.012485,-0.002714,-0.017298,3.984149,42.568627,383.691687,47.597654,386.138578,0.300403
45.010218,384.991010,227.892779,2.023365,2.052029,-0.011771,-0.002559,-0.017316,3.984031,42.524662,383.782465,47.553121,386.227438,0.400538
44.966442,385.081069,227.894427,2.023117,2.051541,-0.010960,-0.002383,-0.017335,3.983911,42.480739,383.873215,47.508443,386.316279,0.500672
44.922689,385.171139,227.896073,2.022888,2.051060,-0.010064,-0.002188,-0.017353,3.983791,42.436977,383.963984,47.463741,386.405169,0.600807
44.878955,385.261218,227.897718,2.022680,2.050585,-0.009101,-0.001978,-0.017372,3.983669,42.393240,384.054700,47.419012,386.494112,0.700941
44.835238,385.351306,227.899360,2.022493,2.050115,-0.008068,-0.001754,-0.017392,3.983546,42.349527,384.145365,47.374253,386.583107,0.801076
44.791538,385.441401,227.901002,2.022329,2.049652,-0.006968,-0.001515,-0.017411,3.983422,42.305843,384.235971,47.329303,386.672082,0.901210
44.747851,385.531503,227.902641,2.022190,2.049197,-0.005799,-0.001261,-0.017431,3.983297,42.262189,384.326516,47.284321,386.761120,1.001345
44.704176,385.621611,227.904280,2.022077,2.048749,-0.004573,-0.000994,-0.017452,3.983171,42.218566,384.416996,47.239305,386.850225,1.101479
44.660510,385.711723,227.905917,2.021991,2.048308,-0.003304,-0.000718,-0.017472,3.983044,42.174975,384.507408,47.194256,386.939397,1.201614
44.616850,385.801838,227.907553,2.021933,2.047876,-0.001992,-0.000433,-0.017493,3.982915,42.131436,384.597760,47.148994,387.028555,1.301748
44.573194,385.891955,227.909187,2.021905,2.047453,-0.000635,-0.000138,-0.017515,3.982786,42.088080,384.688108,47.103677,387.117780,1.401883
44.529539,385.982072,227.910821,2.021906,2.047038,0.000765,0.000166,-0.017537,3.982655,42.044759,384.778384,47.058324,387.207077,1.502017
44.485883,386.072189,227.912454,2.021938,2.046633,0.002198,0.000478,-0.017559,3.982523,42.001475,384.868583,47.012931,387.296452,1.602152
44.442222,386.162304,227.914087,2.022002,2.046239,0.003655,0.000794,-0.017581,3.982390,41.958229,384.958703,46.967318,387.385821,1.702286
44.398554,386.252415,227.915718,2.022097,2.045853,0.005135,0.001116,-0.017604,3.982255,41.915020,385.048745,46.921628,387.475248,1.802421
44.354876,386.342521,227.917350,2.022225,2.045479,0.006638,0.001443,-0.017627,3.982120,41.871851,385.138705,46.875895,387.564757,1.902555
44.311185,386.432621,227.918981,2.022386,2.045116,0.008164,0.001775,-0.017651,3.981983,41.828721,385.228583,46.830122,387.654349,2.002690
44.267479,386.522714,227.920611,2.022581,2.044765,0.009705,0.002110,-0.017675,3.981845,41.785631,385.318377,46.784128,387.743938,2.102824
44.223753,386.612797,227.922242,2.022809,2.044426,0.011253,0.002446,-0.017700,3.981705,41.742581,385.408089,46.738032,387.833579,2.202959
44.180005,386.702869,227.923873,2.023071,2.044098,0.012808,0.002785,-0.017724,3.981565,41.699571,385.497716,46.691893,387.923304,2.303093
44.136232,386.792929,227.925505,2.023367,2.043784,0.014369,0.003124,-0.017750,3.981423,41.656601,385.587259,46.645711,388.013112,2.403228
44.092430,386.882976,227.927136,2.023697,2.043482,0.015937,0.003465,-0.017775,3.981279,41.613672,385.676719,46.599309,388.102918,2.503362
44.048598,386.973007,227.928769,2.024061,2.043193,0.017506,0.003806,-0.017801,3.981135,41.570780,385.766092,46.552781,388.192764,2.603497
44.004731,387.063022,227.930402,2.024459,2.042918,0.019067,0.004146,-0.017827,3.980989,41.527917,385.855376,46.506210,388.282694,2.703631
43.960827,387.153018,227.932036,2.024891,2.042657,0.020623,0.004484,-0.017854,3.980841,41.485079,385.944568,46.459597,388.372706,2.803765
43.916882,387.242994,227.933672,2.025357,2.042411,0.022172,0.004821,-0.017881,3.980693,41.442260,386.033665,46.412769,388.462715,2.903900
43.872894,387.332950,227.935308,2.025856,2.042178,0.023715,0.005156,-0.017909,3.980542,41.399452,386.122668,46.365793,388.552752,3.004034
43.828860,387.422883,227.936947,2.026389,2.041961,0.025246,0.005489,-0.017937,3.980391,41.356664,386.211578,46.318775,388.642870,3.104169
43.784776,387.512791,227.938587,2.026956,2.041759,0.026761,0.005819,-0.017965,3.980238,41.313885,386.300387,46.271715,388.733069,3.204303
43.740640,387.602674,227.940228,2.027555,2.041572,0.028260,0.006145,-0.017994,3.980083,41.269575,386.388348,46.224442,388.823260,3.304438
43.696448,387.692529,227.941872,2.028186,2.041401,0.029742,0.006468,-0.018023,3.979927,41.223351,386.475266,46.177002,388.913462,3.404572
43.652198,387.782356,227.943518,2.028850,2.041246,0.031209,0.006787,-0.018053,3.979770,41.177098,386.562065,46.129521,389.003743,3.504707
43.607888,387.872153,227.945167,2.029545,2.041106,0.032655,0.007101,-0.018083,3.979611,41.130820,386.648751,46.082003,389.094096,3.604841
43.563513,387.961918,227.946818,2.030272,2.040984,0.034078,0.007411,-0.018113,3.979450,41.084524,386.735324,46.034274,389.184441,3.704976
43.519072,388.051651,227.948472,2.031029,2.040877,0.035477,0.007716,-0.018144,3.979288,41.038194,386.821784,45.986367,389.274784,3.805110
43.474561,388.141349,227.950129,2.031817,2.040788,0.036853,0.008015,-0.018175,3.979124,40.991835,386.908128,45.938422,389.365200,3.905245
43.429979,388.231011,227.951790,2.032634,2.040715,0.038205,0.008310,-0.018206,3.978959,40.945449,386.994362,45.890442,389.455681,4.005379
43.385322,388.320636,227.953453,2.033481,2.040660,0.039531,0.008598,-0.018238,3.978792,40.899031,387.080482,45.842262,389.546150,4.105514
43.340588,388.410223,227.955121,2.034356,2.040621,0.040829,0.008881,-0.018271,3.978624,40.852584,387.166494,45.793899,389.636609,4.205648
43.295774,388.499769,227.956792,2.035259,2.040600,0.042099,0.009157,-0.018304,3.978453,40.806096,387.252392,45.745502,389.727130,4.305783
43.250878,388.589275,227.958467,2.036190,2.040596,0.043340,0.009428,-0.018337,3.978282,40.759578,387.338183,45.697071,389.817715,4.405917
43.205897,388.678738,227.960146,2.037147,2.040610,0.044553,0.009692,-0.018370,3.978108,40.713019,387.423864,45.650485,389.909303,4.506052
43.160830,388.768158,227.961830,2.038130,2.040641,0.045736,0.009950,-0.018404,3.977933,40.666425,387.509441,45.603934,390.000988,4.606186
43.115674,388.857533,227.963518,2.039139,2.040690,0.046888,0.010201,-0.018438,3.977755,40.619793,387.594910,45.557352,390.092736,4.706321
43.070426,388.946861,227.965212,2.040173,2.040757,0.048009,0.010445,-0.018473,3.977576,40.573115,387.680270,45.510739,390.184544,4.806455
43.025085,389.036142,227.966910,2.041231,2.040842,0.049098,0.010682,-0.018508,3.977396,40.526400,387.765529,45.464097,390.276411,4.906590
42.979649,389.125375,227.968613,2.042312,2.040945,0.050156,0.010913,-0.018544,3.977213,40.479633,387.850681,45.417425,390.368334,5.006724
42.934115,389.214558,227.970322,2.043416,2.041065,0.051183,0.011136,-0.018580,3.977029,40.432828,387.935735,45.370725,390.460314,5.106859
42.888482,389.303690,227.972036,2.044542,2.041204,0.052177,0.011353,-0.018616,3.976842,40.385975,388.020687,45.323998,390.552348,5.206993
42.842747,389.392770,227.973756,2.045690,2.041361,0.053139,0.011563,-0.018652,3.976654,40.339075,388.105538,45.277243,390.644436,5.307128
42.796910,389.481797,227.975482,2.046858,2.041535,0.054068,0.011765,-0.018689,3.976464,40.292120,388.190289,45.230463,390.736574,5.407262
42.750967,389.570770,227.977214,2.048046,2.041727,0.054965,0.011961,-0.018727,3.976272,40.245120,388.274946,45.183657,390.828763,5.507396
42.704918,389.659688,227.978953,2.049253,2.041937,0.055830,0.012149,-0.018764,3.976078,40.198063,388.359506,45.136826,390.920999,5.607531
42.658761,389.748549,227.980697,2.050479,2.042165,0.056662,0.012331,-0.018802,3.975882,40.150957,388.443970,45.089972,391.013283,5.707665
42.612494,389.837354,227.982449,2.051722,2.042410,0.057463,0.012506,-0.018840,3.975683,40.103791,388.528343,45.043019,391.105573,5.807800
42.566116,389.926101,227.984207,2.052983,2.042674,0.058231,0.012673,-0.018879,3.975483,40.056571,388.612622,44.995969,391.197870,5.907934
42.519625,390.014789,227.985972,2.054260,2.042955,0.058967,0.012834,-0.018918,3.975281,40.009295,388.696812,44.948695,391.290102,6.008069
42.473021,390.103417,227.987745,2.055553,2.043254,0.059672,0.012988,-0.018957,3.975076,39.961956,388.780910,44.901248,391.382296,6.108203
42.426301,390.191984,227.989524,2.056861,2.043570,0.060345,0.013135,-0.018997,3.974869,39.914556,388.864919,44.853782,391.474529,6.208338
42.379465,390.280490,227.991311,2.058183,2.043903,0.060988,0.013275,-0.019037,3.974661,39.867099,388.948846,44.806297,391.566798,6.308472
42.332511,390.368934,227.993106,2.059519,2.044254,0.061601,0.013408,-0.019077,3.974449,39.819573,389.032683,44.758443,391.658920,6.408607
42.285438,390.457314,227.994909,2.060868,2.044622,0.062182,0.013535,-0.019117,3.974236,39.771987,389.116437,44.710425,391.750996,6.508741
42.238246,390.545630,227.996719,2.062229,2.045006,0.062734,0.013656,-0.019158,3.974020,39.724332,389.200108,44.662391,391.843105,6.608876
42.190933,390.633882,227.998537,2.063603,2.045409,0.063257,0.013770,-0.019198,3.973802,39.676611,389.283694,44.614338,391.935248,6.709010
42.143499,390.722069,228.000363,2.064987,2.045827,0.063751,0.013878,-0.019239,3.973581,39.628823,389.367204,44.565838,392.027184,6.809145
42.095941,390.810189,228.002198,2.066382,2.046262,0.064217,0.013979,-0.019281,3.973358,39.580966,389.450633,44.517236,392.119103,6.909279
42.048261,390.898243,228.004041,2.067786,2.046713,0.064654,0.014075,-0.019322,3.973133,39.533037,389.533985,44.468621,392.211047,7.009414
42.000457,390.986230,228.005892,2.069200,2.047181,0.065063,0.014164,-0.019364,3.972905,39.485036,389.617258,44.419992,392.303017,7.109548
41.952527,391.074149,228.007753,2.070623,2.047666,0.065447,0.014248,-0.019406,3.972674,39.436961,389.700455,44.370831,392.394730,7.209683
41.904473,391.161999,228.009621,2.072053,2.048165,0.065805,0.014326,-0.019448,3.972441,39.388814,389.783581,44.321638,392.486449,7.309817
41.856292,391.249780,228.011499,2.073492,2.048681,0.066137,0.014399,-0.019490,3.972205,39.340589,389.866627,44.272431,392.578192,7.409952
41.807985,391.337492,228.013385,2.074937,2.049212,0.066443,0.014465,-0.019532,3.971967,39.292292,389.949606,44.223172,392.669929,7.510086
41.759551,391.425134,228.015281,2.076389,2.049759,0.066725,0.014527,-0.019575,3.971726,39.243912,390.032510,44.173393,392.761405,7.610221
41.710990,391.512705,228.017185,2.077846,2.050321,0.066984,0.014584,-0.019617,3.971482,39.195456,390.115347,44.123608,392.852894,7.710355
41.662300,391.600205,228.019099,2.079309,2.050898,0.067221,0.014635,-0.019660,3.971235,39.146914,390.198110,44.073813,392.944401,7.810490
41.613483,391.687633,228.021021,2.080777,2.051489,0.067435,0.014682,-0.019703,3.970986,39.098299,390.280807,44.023899,393.035859,7.910624
41.564537,391.774990,228.022953,2.082249,2.052095,0.067626,0.014724,-0.019746,3.970733,39.049600,390.363438,43.973526,393.127077,8.010759
41.515462,391.862275,228.024894,2.083725,2.052716,0.067796,0.014761,-0.019788,3.970478,39.000818,390.446002,43.923146,393.218307,8.110893
41.466259,391.949487,228.026845,2.085205,2.053351,0.067947,0.014794,-0.019831,3.970220,38.951953,390.528499,43.872760,393.309548,8.211027
41.416926,392.036625,228.028805,2.086688,2.054000,0.068079,0.014823,-0.019874,3.969958,38.903004,390.610931,43.822194,393.400699,8.311162
41.367464,392.123691,228.030774,2.088174,2.054663,0.068192,0.014847,-0.019917,3.969693,38.853967,390.693297,43.771228,393.491637,8.411296
41.317872,392.210683,228.032752,2.089661,2.055338,0.068285,0.014868,-0.019959,3.969426,38.804841,390.775603,43.720259,393.582579,8.511431
41.268151,392.297601,228.034741,2.091151,2.056028,0.068361,0.014884,-0.020002,3.969155,38.755634,390.857846,43.669286,393.673530,8.611565
41.218301,392.384445,228.036738,2.092642,2.056730,0.068421,0.014897,-0.020045,3.968880,38.706331,390.940024,43.618072,393.764350,8.711700
41.168321,392.471214,228.038745,2.094134,2.057446,0.068466,0.014907,-0.020087,3.968603,38.656947,391.022146,43.566521,393.854980,8.811834
41.118212,392.557909,228.040761,2.095627,2.058174,0.068494,0.014913,-0.020130,3.968322,38.607466,391.104202,43.514966,393.945615,8.911969
41.067973,392.644529,228.042787,2.097121,2.058915,0.068507,0.014916,-0.020172,3.968037,38.557900,391.186200,43.463409,394.036255,9.012103
41.017605,392.731073,228.044823,2.098615,2.059668,0.068506,0.014916,-0.020214,3.967749,38.508237,391.268135,43.411559,394.126726,9.112238
40.967108,392.817543,228.046867,2.100108,2.060432,0.068493,0.014913,-0.020256,3.967458,38.458483,391.350015,43.359431,394.217035,9.212372
40.916481,392.903936,228.048922,2.101601,2.061208,0.068468,0.014908,-0.020297,3.967162,38.408636,391.431835,43.307302,394.307344,9.312507
40.865726,392.990254,228.050985,2.103094,2.061997,0.068431,0.014899,-0.020339,3.966863,38.358697,391.513595,43.255173,394.397656,9.412641
40.814842,393.076497,228.053058,2.104585,2.062796,0.068381,0.014889,-0.020380,3.966560,38.308663,391.595301,43.202698,394.487762,9.512776
40.763829,393.162663,228.055140,2.106075,2.063606,0.068321,0.014875,-0.020421,3.966254,38.258531,391.676947,43.150000,394.577734,9.612910
40.712689,393.248753,228.057231,2.107564,2.064428,0.068252,0.014860,-0.020461,3.965943,38.208305,391.758534,43.097303,394.667704,9.713045
40.661420,393.334767,228.059332,2.109051,2.065260,0.068174,0.014843,-0.020501,3.965628,38.157981,391.840065,43.044608,394.757672,9.813179
40.610023,393.420705,228.061441,2.110537,2.066103,0.068087,0.014825,-0.020541,3.965310,38.107564,391.921539,42.991520,394.847406,9.913314
40.558499,393.506566,228.063560,2.112020,2.066955,0.067992,0.014804,-0.020581,3.964986,38.057040,392.002954,42.938263,394.937029,10.013448
40.506848,393.592351,228.065687,2.113501,2.067818,0.067889,0.014781,-0.020620,3.964659,38.006424,392.084315,42.885009,395.026648,10.113583
40.455069,393.678060,228.067824,2.114980,2.068690,0.067781,0.014758,-0.020658,3.964328,37.955708,392.165620,42.831755,395.116266,10.213717
40.403165,393.763691,228.069969,2.116457,2.069573,0.067668,0.014733,-0.020697,3.963991,37.904896,392.246866,42.778085,395.205625,10.313852
40.351133,393.849247,228.072123,2.117931,2.070465,0.067548,0.014707,-0.020734,3.963651,37.853975,392.328054,42.724296,395.294906,10.413986
40.298976,393.934725,228.074286,2.119402,2.071365,0.067423,0.014679,-0.020771,3.963305,37.802962,392.409190,42.670511,395.384180,10.514121
40.246694,394.020127,228.076457,2.120871,2.072275,0.067294,0.014651,-0.020808,3.962955,37.751843,392.490265,42.616815,395.473504,10.614255
40.194286,394.105451,228.078636,2.122336,2.073193,0.067163,0.014623,-0.020844,3.962600,37.700623,392.571286,42.563660,395.563151,10.714389
40.141753,394.190699,228.080824,2.123799,2.074121,0.067028,0.014593,-0.020879,3.962240,37.649303,392.652248,42.510505,395.652797,10.814524
40.089096,394.275870,228.083020,2.125259,2.075057,0.066891,0.014563,-0.020914,3.961875,37.597880,392.733154,42.457351,395.742441,10.914658
40.036314,394.360965,228.085224,2.126716,2.076001,0.066752,0.014533,-0.020948,3.961505,37.546353,392.814002,42.403957,395.831934,11.014793
39.983409,394.445982,228.087436,2.128169,2.076952,0.066611,0.014502,-0.020982,3.961130,37.494725,392.894796,42.350201,395.921193,11.114927
39.930380,394.530922,228.089655,2.129620,2.077912,0.066470,0.014471,-0.021014,3.960749,37.442994,392.975530,42.296195,396.010294,11.215062
39.877229,394.615786,228.091883,2.131067,2.078879,0.066329,0.014441,-0.021046,3.960362,37.391153,393.056204,42.241840,396.099169,11.315196
39.823954,394.700573,228.094118,2.132512,2.079854,0.066188,0.014410,-0.021078,3.959970,37.339214,393.136821,42.187485,396.188043,11.415331
39.770558,394.785282,228.096360,2.133953,2.080836,0.066047,0.014379,-0.021108,3.959572,37.287162,393.217376,42.133135,396.276909,11.515465
39.717039,394.869915,228.098610,2.135392,2.081826,0.065908,0.014349,-0.021138,3.959168,37.235017,393.297876,42.078442,396.365557,11.615600
39.663399,394.954470,228.100866,2.136827,2.082822,0.065771,0.014319,-0.021167,3.958758,37.182754,393.378311,42.023319,396.453922,11.715734
39.609638,395.038949,228.103130,2.138259,2.083825,0.065636,0.014289,-0.021194,3.958342,37.130392,393.458691,41.968198,396.542283,11.815869
39.555756,395.123351,228.105400,2.139689,2.084836,0.065504,0.014260,-0.021221,3.957920,37.077922,393.539005,41.913079,396.630641,11.916003
39.501753,395.207675,228.107677,2.141115,2.085852,0.065374,0.014232,-0.021248,3.957490,37.025343,393.619261,41.857625,396.718774,12.016138
39.447631,395.291923,228.109960,2.142539,2.086875,0.065248,0.014204,-0.021273,3.957055,36.972661,393.699453,41.801772,396.806648,12.116272
39.393388,395.376093,228.112250,2.143960,2.087904,0.065126,0.014178,-0.021297,3.956612,36.919872,393.779584,41.745922,396.894515,12.216407
39.339026,395.460187,228.114546,2.145378,2.088939,0.065009,0.014152,-0.021320,3.956162,36.866972,393.859652,41.690076,396.982378,12.316541
39.284545,395.544203,228.116848,2.146794,2.089980,0.064896,0.014128,-0.021342,3.955705,36.813969,393.939655,41.633901,397.070023,12.416676
39.229946,395.628142,228.119155,2.148208,2.091027,0.064788,0.014104,-0.021363,3.955240,36.760860,394.019593,41.577353,397.157420,12.516810
39.175227,395.712004,228.121468,2.149619,2.092080,0.064685,0.014082,-0.021383,3.954768,36.707638,394.099467,41.520809,397.244811,12.616945
39.120391,395.795789,228.123787,2.151028,2.093138,0.064588,0.014060,-0.021402,3.954288,36.654307,394.179272,41.464267,397.332199,12.717079
39.065437,395.879496,228.126111,2.152435,2.094202,0.064498,0.014041,-0.021419,3.953800,36.600867,394.259009,41.407412,397.419375,12.817214
39.010365,395.963126,228.128440,2.153840,2.095272,0.064414,0.014022,-0.021436,3.953303,36.547325,394.338684,41.350206,397.506315,12.917348
38.955175,396.046679,228.130773,2.155243,2.096346,0.064336,0.014006,-0.021451,3.952798,36.493670,394.418289,41.293002,397.593251,13.017483
38.899869,396.130154,228.133112,2.156645,2.097426,0.064266,0.013990,-0.021465,3.952285,36.439903,394.497819,41.235801,397.680184,13.117617
38.844445,396.213552,228.135455,2.158045,2.098510,0.064203,0.013976,-0.021477,3.951762,36.386026,394.577282,41.178304,397.766917,13.217752
38.788905,396.296872,228.137802,2.159444,2.099600,0.064148,0.013964,-0.021489,3.951230,36.332045,394.656675,41.120473,397.853424,13.317886
38.733249,396.380114,228.140153,2.160841,2.100694,0.064102,0.013954,-0.021499,3.950688,36.277951,394.735997,41.062647,397.939926,13.418020
38.677476,396.463278,228.142509,2.162238,2.101794,0.064062,0.013946,-0.021508,3.950136,36.223748,394.815243,41.004820,398.026428,13.518155
38.621587,396.546365,228.144868,2.163634,2.102898,0.064032,0.013939,-0.021515,3.949574,36.169431,394.894413,40.946715,398.112742,13.618289
38.565582,396.629373,228.147230,2.165030,2.104007,0.064010,0.013934,-0.021521,3.949002,36.115007,394.973508,40.888290,398.198838,13.718424
38.509462,396.712303,228.149596,2.166425,2.105121,0.063998,0.013932,-0.021526,3.948418,36.060473,395.052529,40.829867,398.284931,13.818558
38.453225,396.795155,228.151965,2.167820,2.106239,0.063995,0.013931,-0.021529,3.947824,36.005826,395.131471,40.771443,398.371025,13.918693
38.396874,396.877928,228.154337,2.169215,2.107361,0.064000,0.013932,-0.021530,3.947218,35.951069,395.210335,40.712761,398.456941,14.018827
38.340407,396.960622,228.156712,2.170610,2.108488,0.064016,0.013936,-0.021530,3.946599,35.896199,395.289118,40.653770,398.542646,14.118962
38.283824,397.043238,228.159089,2.172006,2.109620,0.064042,0.013941,-0.021529,3.945969,35.841219,395.367821,40.594776,398.628353,14.219096
38.227126,397.125774,228.161469,2.173402,2.110755,0.064078,0.013949,-0.021526,3.945325,35.786132,395.446446,40.535784,398.714059,14.319231
38.170313,397.208232,228.163850,2.174800,2.111896,0.064124,0.013959,-0.021522,3.944668,35.730929,395.524982,40.476548,398.799605,14.419365
38.113385,397.290609,228.166234,2.176198,2.113040,0.064180,0.013971,-0.021515,3.943997,35.675615,395.603437,40.417015,398.884942,14.519500
