unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
45.185562,384.630892,227.886052,2.024500,2.054025,-0.014039,-0.003052,-0.015899,2.365527,42.700722,383.419206,47.826189,385.918544,0.000000
45.141537,384.721210,227.887696,2.024200,2.053518,-0.013322,-0.002896,-0.015901,2.365495,42.656461,383.510332,47.779599,386.006632,0.100476
45.097538,384.811540,227.889338,2.023923,2.053016,-0.011933,-0.002594,-0.015903,2.365474,42.610924,383.600765,47.732631,386.094612,0.200953
45.053563,384.901883,227.890976,2.023683,2.052521,-0.009909,-0.002154,-0.015905,2.365461,42.558966,383.687961,47.685361,386.182570,0.301429
45.009607,384.992234,227.892611,2.023494,2.052034,-0.007288,-0.001584,-0.015907,2.365454,42.506723,383.774865,47.637793,386.270548,0.401906
44.965666,385.082592,227.894242,2.023369,2.051559,-0.004105,-0.000892,-0.015910,2.365450,42.454220,383.861446,47.589737,386.358499,0.502382
44.921732,385.172955,227.895871,2.023319,2.051096,-0.000394,-0.000086,-0.015912,2.365449,42.401477,383.947682,47.541473,386.446595,0.602858
44.877799,385.263318,227.897496,2.023355,2.050646,0.003812,0.000829,-0.015915,2.365448,42.348497,384.033534,47.492528,386.534638,0.703335
44.833859,385.353677,227.899118,2.023489,2.050214,0.008479,0.001843,-0.015917,2.365448,42.295294,384.118969,47.443445,386.622928,0.803811
44.789902,385.444027,227.900737,2.023729,2.049800,0.013576,0.002952,-0.015920,2.365448,42.241873,384.203959,47.393549,386.711162,0.904288
44.745918,385.534365,227.902352,2.024085,2.049408,0.019074,0.004147,-0.015923,2.365448,42.188237,384.288473,47.343455,386.799671,1.004764
44.701896,385.624684,227.903965,2.024565,2.049038,0.024940,0.005423,-0.015926,2.365448,42.134400,384.372486,47.292628,386.888214,1.105240
44.657825,385.714980,227.905575,2.025177,2.048694,0.031148,0.006774,-0.015929,2.365448,42.080330,384.455953,47.241442,386.976998,1.205717
44.613692,385.805245,227.907182,2.025928,2.048378,0.037669,0.008193,-0.015932,2.365448,42.026072,384.538864,47.189606,387.065897,1.306193
44.569486,385.895474,227.908786,2.026825,2.048092,0.044475,0.009675,-0.015935,2.365448,41.971628,384.621193,47.137252,387.154995,1.406670
44.525191,385.985660,227.910387,2.027874,2.047839,0.051541,0.011215,-0.015938,2.365448,41.917014,384.702921,47.084335,387.244284,1.507146
44.480795,386.075796,227.911985,2.029081,2.047622,0.058841,0.012806,-0.015941,2.365448,41.862242,384.784027,47.030744,387.333722,1.607622
44.436283,386.165875,227.913581,2.030450,2.047442,0.066351,0.014445,-0.015945,2.365448,41.807316,384.864490,46.976676,387.423414,1.708099
44.391640,386.255888,227.915174,2.031985,2.047302,0.074046,0.016127,-0.015948,2.365448,41.752237,384.944289,46.921793,387.513197,1.808575
44.346851,386.345830,227.916764,2.033691,2.047204,0.081905,0.017845,-0.015952,2.365448,41.696993,385.023394,46.866514,387.603291,1.909052
44.301901,386.435691,227.918352,2.035572,2.047152,0.089904,0.019597,-0.015956,2.365448,41.641595,385.101785,46.810282,387.693421,2.009528
44.256774,386.525463,227.919938,2.037631,2.047147,0.098023,0.021378,-0.015960,2.365448,41.586079,385.179459,46.753730,387.783904,2.110004
44.211454,386.615139,227.921521,2.039869,2.047191,0.106240,0.023183,-0.015964,2.365448,41.530448,385.256406,46.696102,387.874358,2.210481
44.165926,386.704708,227.923102,2.042290,2.047288,0.114537,0.025009,-0.015968,2.365448,41.474719,385.332606,46.638222,387.965199,2.310957
44.120173,386.794163,227.924681,2.044895,2.047438,0.122893,0.026851,-0.015972,2.365448,41.418889,385.408045,46.579163,388.055952,2.411434
44.074178,386.883493,227.926258,2.047686,2.047646,0.131291,0.028707,-0.015976,2.365448,41.362973,385.482711,46.519857,388.147087,2.511910
44.027926,386.972691,227.927833,2.050664,2.047912,0.139713,0.030572,-0.015981,2.365448,41.306965,385.556587,46.459547,388.238210,2.612386
43.981401,387.061747,227.929406,2.053830,2.048239,0.148143,0.032443,-0.015985,2.365448,41.250859,385.629652,46.406727,388.333765,2.712863
43.934585,387.150650,227.930977,2.057184,2.048629,0.156563,0.034316,-0.015990,2.365448,41.194684,385.701908,46.356439,388.431222,2.813339
43.887463,387.239391,227.932547,2.060726,2.049084,0.164959,0.036190,-0.015995,2.365448,41.138466,385.773357,46.305911,388.529144,2.913816
43.840018,387.327960,227.934115,2.064456,2.049605,0.173316,0.038059,-0.016000,2.365448,41.082197,385.843981,46.255142,388.627534,3.014292
43.792236,387.416348,227.935682,2.068374,2.050196,0.181620,0.039923,-0.016005,2.365448,41.025901,385.913782,46.204130,388.726396,3.114768
43.744099,387.504543,227.937247,2.072478,2.050857,0.189857,0.041776,-0.016010,2.365448,40.969573,385.982749,46.152875,388.825728,3.215245
43.695592,387.592535,227.938812,2.076768,2.051591,0.198015,0.043618,-0.016015,2.365448,40.913234,386.050881,46.101374,388.925535,3.315721
43.646700,387.680313,227.940375,2.081243,2.052400,0.206081,0.045445,-0.016020,2.365448,40.856883,386.118168,46.049504,389.025752,3.416198
43.597408,387.767868,227.941937,2.085900,2.053284,0.214045,0.047255,-0.016026,2.365448,40.800498,386.184597,45.996832,389.126130,3.516674
43.547701,387.855187,227.943498,2.090738,2.054246,0.221894,0.049046,-0.016032,2.365448,40.744106,386.250172,45.943912,389.226980,3.617150
43.497564,387.942260,227.945059,2.095755,2.055287,0.229620,0.050814,-0.016037,2.365448,40.687733,386.314904,45.890221,389.328003,3.717627
43.446983,388.029077,227.946619,2.100949,2.056408,0.237213,0.052557,-0.016043,2.365448,40.631375,386.378787,45.835803,389.429217,3.818103
43.395945,388.115625,227.948178,2.106316,2.057611,0.244663,0.054275,-0.016049,2.365448,40.575044,386.441827,45.780463,389.530492,3.918580
43.344435,388.201893,227.949738,2.111854,2.058896,0.251962,0.055964,-0.016055,2.365448,40.518747,386.504027,45.724656,389.632092,4.019056
43.292441,388.287870,227.951296,2.117561,2.060266,0.259103,0.057622,-0.016061,2.365448,40.462486,386.565382,45.667642,389.733566,4.119532
43.239950,388.373545,227.952855,2.123433,2.061721,0.266078,0.059248,-0.016068,2.365448,40.406266,386.625902,45.610108,389.835313,4.220009
43.186950,388.458906,227.954414,2.129466,2.063261,0.272880,0.060839,-0.016074,2.365448,40.350090,386.685591,45.551559,389.937018,4.320485
43.133430,388.543942,227.955973,2.135657,2.064888,0.279504,0.062395,-0.016081,2.365448,40.293966,386.744456,45.492186,390.038783,4.420962
43.079377,388.628640,227.957532,2.142003,2.066604,0.285945,0.063913,-0.016087,2.365448,40.237893,386.802497,45.432033,390.140627,4.521438
43.024782,388.712989,227.959091,2.148499,2.068407,0.292196,0.065393,-0.016094,2.365448,40.181877,386.859728,45.370719,390.242281,4.621914
42.969633,388.796978,227.960651,2.155143,2.070300,0.298255,0.066831,-0.016101,2.365448,40.125920,386.916150,45.308844,390.344129,4.722391
42.913922,388.880595,227.962211,2.161928,2.072282,0.304116,0.068229,-0.016108,2.365448,40.070014,386.971776,45.245561,390.445582,4.822867
42.857639,388.963827,227.963773,2.168852,2.074354,0.309776,0.069583,-0.016115,2.365448,40.014159,387.026603,45.181627,390.547128,4.923344
42.800775,389.046664,227.965334,2.175909,2.076516,0.315234,0.070893,-0.016123,2.365448,39.958364,387.080657,45.116584,390.648437,5.023820
42.743323,389.129095,227.966897,2.183096,2.078768,0.320485,0.072158,-0.016130,2.365448,39.902628,387.133940,45.050712,390.749684,5.124296
42.685275,389.211106,227.968461,2.190408,2.081112,0.325530,0.073378,-0.016137,2.365448,39.846949,387.186463,44.993441,390.857574,5.224773
42.626624,389.292687,227.970026,2.197840,2.083546,0.330365,0.074551,-0.016145,2.365448,39.791337,387.238248,44.939476,390.968571,5.325249
42.567363,389.373827,227.971593,2.205388,2.086072,0.334991,0.075676,-0.016153,2.365448,39.735772,387.289291,44.885220,391.080166,5.425726
42.507488,389.454514,227.973161,2.213046,2.088687,0.339406,0.076754,-0.016160,2.365448,39.680265,387.339620,44.830672,391.192363,5.526202
42.446991,389.534736,227.974730,2.220810,2.091393,0.343612,0.077784,-0.016168,2.365448,39.624805,387.389237,44.775824,391.305176,5.626679
42.385870,389.614483,227.976301,2.228675,2.094189,0.347609,0.078765,-0.016176,2.365448,39.569387,387.438154,44.720674,391.418612,5.727155
42.324119,389.693745,227.977873,2.236637,2.097075,0.351397,0.079698,-0.016184,2.365448,39.514021,387.486395,44.665212,391.532688,5.827631
42.261736,389.772509,227.979448,2.244689,2.100050,0.354978,0.080583,-0.016193,2.365448,39.458679,387.533961,44.609438,391.647407,5.928108
42.198717,389.850765,227.981024,2.252828,2.103114,0.358355,0.081419,-0.016201,2.365448,39.403372,387.580869,44.552943,391.762461,6.028584
42.135061,389.928504,227.982602,2.261049,2.106267,0.361529,0.082206,-0.016209,2.365448,39.348094,387.627135,44.495739,391.877860,6.129061
42.070764,390.005714,227.984182,2.269346,2.109508,0.364503,0.082946,-0.016218,2.365448,39.292829,387.672770,44.437150,391.993034,6.229537
