unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
-49.973708,308.699591,227.690782,0.604117,0.570193,0.038123,0.008292,-0.013638,3.986994,-51.602438,311.059393,-48.401745,306.422037,0.000000
-49.891729,308.756223,227.692269,0.604947,0.570814,0.038547,0.008384,-0.013632,3.987075,-51.522950,311.115443,-48.317750,306.479792,0.099638
-49.809798,308.812923,227.693751,0.605787,0.571439,0.038969,0.008476,-0.013625,3.987166,-51.443542,311.171553,-48.233846,306.537725,0.199275
-49.727915,308.869692,227.695230,0.606636,0.572069,0.039389,0.008567,-0.013618,3.987257,-51.364207,311.227722,-48.149920,306.595673,0.298913
-49.646080,308.926531,227.696703,0.607495,0.572705,0.039809,0.008659,-0.013609,3.987348,-51.284946,311.283944,-48.065971,306.653637,0.398550
-49.564294,308.983441,227.698172,0.608362,0.573343,0.040227,0.008750,-0.013600,3.987438,-51.205759,311.340230,-47.982068,306.711706,0.498188
-49.482558,309.040422,227.699636,0.609238,0.573986,0.040644,0.008841,-0.013590,3.987528,-51.126650,311.396580,-47.898272,306.769973,0.597825
-49.400872,309.097475,227.701094,0.610123,0.574633,0.041059,0.008931,-0.013580,3.987616,-51.047612,311.452982,-47.814455,306.828254,0.697463
-49.319237,309.154600,227.702548,0.611018,0.575286,0.041472,0.009021,-0.013569,3.987704,-50.968657,311.509451,-47.730616,306.886551,0.797100
-49.237653,309.211799,227.703997,0.611921,0.575943,0.041884,0.009111,-0.013557,3.987792,-50.889776,311.565982,-47.646835,306.944972,0.896738
-49.156121,309.269072,227.705440,0.612833,0.576605,0.042294,0.009200,-0.013544,3.987878,-50.810970,311.622571,-47.563166,307.003598,0.996375
-49.074642,309.326420,227.706878,0.613754,0.577272,0.042701,0.009289,-0.013531,3.987964,-50.732241,311.679222,-47.479477,307.062238,1.096013
-48.993216,309.383843,227.708310,0.614684,0.577943,0.043107,0.009377,-0.013518,3.988050,-50.653591,311.735936,-47.395768,307.120892,1.195650
-48.911843,309.441342,227.709737,0.615623,0.578620,0.043510,0.009465,-0.013503,3.988134,-50.575021,311.792716,-47.312101,307.179652,1.295288
-48.830525,309.498918,227.711159,0.616570,0.579302,0.043911,0.009552,-0.013488,3.988218,-50.496524,311.849556,-47.228510,307.238559,1.394925
-48.749261,309.556571,227.712574,0.617526,0.579988,0.044309,0.009639,-0.013473,3.988301,-50.418106,311.906459,-47.144969,307.297579,1.494563
-48.668054,309.614303,227.713985,0.618491,0.580680,0.044705,0.009725,-0.013457,3.988384,-50.339768,311.963425,-47.061504,307.356750,1.594200
-48.586901,309.672113,227.715389,0.619464,0.581377,0.045098,0.009811,-0.013441,3.988466,-50.261506,312.020458,-46.978019,307.415934,1.693838
-48.505806,309.730002,227.716788,0.620446,0.582079,0.045488,0.009896,-0.013423,3.988547,-50.183325,312.077553,-46.894515,307.475131,1.793475
-48.424768,309.787971,227.718180,0.621436,0.582786,0.045876,0.009980,-0.013406,3.988628,-50.105221,312.134713,-46.811095,307.534487,1.893113
-48.343787,309.846021,227.719567,0.622435,0.583500,0.046261,0.010064,-0.013388,3.988702,-50.027200,312.191942,-46.727778,307.594030,1.992751
